name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Pa Jamaica,El Hombre,4PmIVwteqF16NOwoc2N0Pv,El Alfa,2oQX8QiMXOyuqbcZEFsZfm,2mJrQM845TqwABVy6WDmIF,0.0,198974.0,0.0437,0.894,1.0,0.105,11.0,0.859,-2.065,0.279,0.745,0.985,117.028
Subete,Subete,1eCpALR8j9G29ZqoxdlWAi,Lary Over,1jSjfSgDjedJdi5MoyRu78,6CWMm2mJOrKyDH4W1X5d06,69.0,224018.0,0.127,0.77,0.0,0.106,10.0,0.888,-2.11,0.609,2.07e-05,0.864,115.96
Colombiana,Colombiana,6VMDXDjpV5d1Ya3GAj4fQD,Chimbala,4VVEpEhC8NcR7AqNEds42U,6jqFyYXR54RHHo3S18rjab,62.0,186801.0,0.265,0.947,0.0,0.154,4.0,0.56,-2.291,0.265,0.0,0.99,152.31
Bye Bye,Bye Bye (feat. Chimbala and Liro Shaq),7juaBYswyufzydPt0016zv,Mozart La Para,0odliLZMTk45CEVzF3Zocl,1CFICGHfnZH6tXVKIYtYJp,56.0,196746.0,0.0537,0.952,0.0,0.506,4.0,0.859,-0.578,0.0681,0.000519,0.958,120.063
Quitenselo,El Hombre,4PmIVwteqF16NOwoc2N0Pv,El Alfa,2oQX8QiMXOyuqbcZEFsZfm,0tIhSpgIkSbvSbauCXN9pu,0.0,204137.0,0.297,0.52,0.0,0.12,6.0,0.617,-3.651,0.015,0.685,0.924,139.48
Pa Que Aguante Eta,Pa Que Aguante Eta,3QRMuJOfICJpnq7dBokylV,Liro Shaq,3oOJYwLB8FGSKYOQ5zx7Kk,1zdPE06w06CYsHFO4S4FnX,43.0,181577.0,0.143,0.83,1.0,0.247,3.0,0.635,-3.35,0.132,0.0001,0.939,126.976
No Son de Na,No Son de Na,5mR7iINhZaV4XB4p3YlmF0,Tommy Titerito,7qaDbD0PkaTUTOaUpqMeGk,0PcglxPqsxB82pFalqxgqa,49.0,185966.0,0.0634,0.967,1.0,0.549,4.0,0.866,-6.828,0.0344,0.0786,0.804,117.967
La Nota Se Me Encampana - Remix,"LATIN HITS 2018 - Reggaeton, Salsa, Bachata, Pop Latino, Latin Fitness (60 Super Exitos Latinos - Club Edition)",2wDPffBvfwntLX90vKqcAG,Yofrangel,6VLldomvrVfwjvfLdFDq0o,2hagtttYZkjQA3h5bB4WOe,0.0,274840.0,0.192,0.763,1.0,0.148,11.0,0.868,-4.283,0.0311,1.69e-06,0.828,104.966
Maniqui,Maniqui,65FE1YTHJFK4GwNihWyUlC,Chimbala,4VVEpEhC8NcR7AqNEds42U,0yrvDuVVhnk51mlPVoxxcY,0.0,176976.0,0.0539,0.582,1.0,0.0798,0.0,0.887,-3.706,0.402,6.14e-05,0.809,122.996
Betoven,Betoven,4nRjmaTXlyeaLrskjLUeOj,WildBoy Cooba,7eWpOLnIsiYriBSL5XHGRk,0ge3RApy254QnS4wPfgohK,64.0,174000.0,0.151,0.564,1.0,0.0825,1.0,0.512,-4.98,0.162,0.0201,0.775,152.132
Con Silenciador (feat. Anuel Aa),El Hombre,4PmIVwteqF16NOwoc2N0Pv,El Alfa,2oQX8QiMXOyuqbcZEFsZfm,0T3Wg1Xf7HidFDTV0G4vEf,0.0,174827.0,0.219,0.363,1.0,0.123,1.0,0.96,-3.13,0.509,1.73e-05,0.82,116.048
